region;code_de_la_region;nom_du_departement;code_du_departement;geo_point_2d;geo_shape
Nouvelle-Aquitaine;75;Lot-et-Garonne;47;44.35702076779239, 0.020619068839923375;"{""coordinates"": [[0.083427226759962, 44.32230753549579, 66.48994891531765], [-0.042189089080115, 44.391734000088995, 148.30134878866374]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.04942848693909, -0.04777031966769184;"{""coordinates"": [[-0.047835531467753, 43.049437386688744, 392.3654512418434], [-0.047705107867631, 43.04941958718944, 393.2694512428716]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.523475618686746, -1.1866029118623442;"{""coordinates"": [[-1.10953400375096, 43.534983655895964, 5.249950353987515], [-1.212334988379476, 43.5243425868024, 0.287950374186039], [-1.259612297377986, 43.4988065170834, 27.078950421884656]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;44.026817911240336, 1.0869434654669314;"{""coordinates"": [[1.074164981016822, 44.02089135278227, 73.65694946795702], [1.099721949917041, 44.0327444696984, 74.01194944698364]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.74243373652897, -0.020348492918522965;"{""coordinates"": [[-0.020208934893925, 43.7425763863189, -5.002412945e-05], [-0.020488050943121, 43.742291086739044, -5.002412945e-05]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.1977878145526, 0.1020550074405551;"{""coordinates"": [[0.101985550055455, 43.19790359360629, -4.9028545618e-05], [0.102124464825655, 43.197672035498904, -4.9027614295e-05]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.775009869394886, -0.17496403400340732;"{""coordinates"": [[-0.175063313410198, 43.77498598242608, 138.6249499162659], [-0.174864754596617, 43.77503375636368, 139.0309499166906]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;44.09503971381426, 0.8804679178151312;"{""coordinates"": [[0.8697246687547, 44.085514864081006, 59.724949347786605], [0.891211166875562, 44.104564563547505, 59.12494931463152]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.29434700413648, -0.27781191938915645;"{""coordinates"": [[-0.30588728869247, 43.303061383442014, 235.18495077826083], [-0.249736550085843, 43.285632624830946, 262.1459508109838]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.51308757407324, -0.09519592774821588;"{""coordinates"": [[-0.198199985256436, 44.52089468420528, 54.42894855327904], [0.007808129760004, 44.50528046394119, 65.31394858192652]], ""type"": ""LineString""}"
Occitanie;76;Haute-Garonne;31;43.76492095464578, 1.3857155764089155;"{""coordinates"": [[1.290223995821575, 43.792109235505286, 106.00194988492876], [1.380001873553428, 43.76118378632445, 114.850949941203], [1.48347850352347, 43.74732863656365, 155.659949965775]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.343243933973646, -0.22177340234089266;"{""coordinates"": [[-0.240919607186313, 44.27220868697391, 108.92094900645316], [-0.202627197495472, 44.41427918097338, 109.48894874751568]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.295954290491736, 1.9302416781006757;"{""coordinates"": [[1.866909217400303, 43.326243408171926, 187.00395073741674], [1.912948039095108, 43.31519577526573, 168.4349507568404], [1.911372994266889, 43.3035766055119, 178.84695077873766], [1.994352980915346, 43.25995691428257, 165.2599508576095]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Landes;40;43.66482221651085, -1.2779690552894494;"{""coordinates"": [[-1.27791464803546, 43.66485095964791, 35.36495011579245], [-1.278023462543438, 43.66479347337379, 35.39695011731237]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;43.20799237932437, 2.6883134810100744;"{""coordinates"": [[2.688009509488503, 43.20798602588878, -4.904717207e-05], [2.688617452531646, 43.20799873275995, -4.9049034715e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.968429470106244, -0.46026673298181425;"{""coordinates"": [[-0.460101334750947, 44.96847288720464, -5.2265822887e-05], [-0.460432131212682, 44.96838605300785, -5.2265822887e-05]], ""type"": ""LineString""}"
Occitanie;76;Hautes-Pyrénées;65;43.104700621895105, 0.3342012869226031;"{""coordinates"": [[0.334330548297744, 43.104705056736485, 577.9569511441514], [0.334072025547462, 43.104696187053726, 581.6039511431009]], ""type"": ""LineString""}"
Occitanie;76;Aveyron;12;44.1204908764405, 3.026503701757668;"{""coordinates"": [[3.026558131713407, 44.12056437855209, -5.0716102123e-05], [3.026449271801929, 44.120417374328916, -5.0714239478e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;44.49948615336412, -0.14270958312982085;"{""coordinates"": [[-0.14283608080234, 44.49951025624713, 92.77894859109074], [-0.142583085457301, 44.49946205048111, 94.80294859129936]], ""type"": ""LineString""}"
Occitanie;76;Tarn-et-Garonne;82;44.275462476844126, 1.7910232292499257;"{""coordinates"": [[1.791060192117356, 44.27549085672332, -5.0998292863e-05], [1.790986266382495, 44.27543409696493, -5.0997361541e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Pyrénées-Atlantiques;64;43.42878550678013, -1.5883541964179637;"{""coordinates"": [[-1.588324575821872, 43.428701232107684, 7.071950549259782], [-1.588383817014056, 43.428869781452576, 7.779950551688671]], ""type"": ""LineString""}"
Occitanie;76;Aude;11;42.938941851636486, 2.240510155207243;"{""coordinates"": [[2.240469655653373, 42.939057138603694, -4.8556365073e-05], [2.240550654761114, 42.93882656466928, -4.8557296395e-05]], ""type"": ""LineString""}"
Occitanie;76;Aveyron;12;44.482303097375336, 2.158455817911655;"{""coordinates"": [[2.15857188189851, 44.482413906058106, -5.1377341151e-05], [2.158339753924801, 44.48219228869256, -5.1376409829e-05]], ""type"": ""LineString""}"
Nouvelle-Aquitaine;75;Gironde;33;45.00351035616153, -0.5472377133410227;"{""coordinates"": [[-0.536565775238107, 44.9934680398103, 1.009947689250112], [-0.557909651443938, 45.013552672512745, 0.98694765008986]], ""type"": ""LineString""}"
Occitanie;76;Pyrénées-Orientales;66;42.64677767069564, 2.896220124593743;"{""coordinates"": [[2.919769995190967, 42.67987203169511, 36.734951915219426], [2.872670253996519, 42.61368330969618, 48.05395203549415]], ""type"": ""LineString""}"
Occitanie;76;Gers;32;43.76199764705565, -0.19034213259332552;"{""coordinates"": [[-0.190343273838542, 43.76199711063608, 131.6699499404058], [-0.190340991348109, 43.761998183475214, 132.1499499399215]], ""type"": ""LineString""}"
